UniqueID,3_S3_R1,3-Pur_S17_R1,3_S3_R2,3-Pur_S17_R2,2_S2_R1,2_S2_R2,2-Pur_S16_R1,2-Pur_S16_R2,Undetermined_S0_R2,Undetermined_S0_R1,4_S4_R1,4-Pur_S18_R1,4_S4_R2,4-Pur_S18_R2,60-Pur_S26_R1,60-Pur_S26_R2,60_S12_R1,60_S12_R2,56_S11_R1,56_S11_R2,56-Pur_S25_R1,56-Pur_S25_R2,62-Pur_S27_R2,62-Pur_S27_R1,62_S13_R1,62_S13_R2,1_S1_R2,1_S1_R1,1-Pur_S15_R1,1-Pur_S15_R2,44_S8_R1,44_S8_R2,44-Pur_S22_R1,44-Pur_S22_R2,24-Pur_S20_R1,24_S6_R1,24_S6_R2,24-Pur_S20_R2,14-Pur_S19_R2,14-Pur_S19_R1,14_S5_R2,14_S5_R1,34-Pur_S21_R2,34-Pur_S21_R1,34_S7_R2,34_S7_R1,52_S10_R2,52_S10_R1,52-Pur_S24_R2,52-Pur_S24_R1,48_S9_R2,48_S9_R1,48-Pur_S23_R2,48-Pur_S23_R1,Ctl_S14_R1,Ctl_S14_R2,Ctl-Pur_S28_R1,Ctl-Pur_S28_R2
-1:Non-coding,422824,356250,459461,362815,704477,724672,275481,281696,545624,533659,434766,308433,455439,319040,904905,928409,618464,632179,660282,678169,636245,641908,847008,822330,491648,501028,733704,718427,459639,478153,767385,782915,443991,454541,506202,619950,629770,520020,837786,830473,782186,776028,711684,700906,698041,692409,555108,550533,543094,537714,791933,774908,483661,475137,532474,545461,103944,109881
2:Bacteria,9508,8041,11374,8179,21890,20930,8336,7970,4890,6194,16678,11054,16306,10862,20659,20088,17247,16572,21099,20565,15926,15742,12101,13225,8915,8328,24339,25231,15096,14051,11718,11554,6425,6306,5856,7248,6933,5497,6500,6615,6315,6580,5770,6377,6347,6532,5231,5349,4300,4613,7157,8128,4477,4916,12314,8866,2212,509
621372:Paenibacillus sp. oral taxon 786 str. D14,1343,1186,1194,1167,41909,39179,13633,12550,3111,4211,1930,1449,1791,1422,33357,29385,28560,25980,26478,23418,21724,19379,18673,21708,19127,16801,2328,2523,1684,1329,8616,7781,4655,4188,66,80,83,59,0,0,49,52,37,45,65,96,56,77,41,55,5743,6816,4133,5039,20,10,19,9
36087:Trichuris trichiura,9044,6603,6868,5611,23695,22836,10627,10693,2833,3818,10702,6994,9255,6005,15779,14950,12272,11856,19002,17915,13891,12973,7943,8932,6525,6112,14942,17577,10557,8429,15088,13153,7836,6607,1130,1583,1320,1042,118,149,131,149,74,91,96,129,86,89,73,96,2745,3112,1953,1970,50,58,30,23
131567:cellular organisms,4911,4154,4825,3850,1578,1930,649,734,7881,6283,8640,5732,7874,5205,19009,17421,17249,15987,26583,24763,15068,14072,7600,8183,6327,6039,4297,4600,2892,2637,4557,4444,2485,2376,2901,3592,3308,2645,1341,1321,1295,1219,1219,1344,1366,1433,1075,1077,898,970,5040,5660,3239,3597,1732,1641,366,232
1412475:Salmonella enterica subsp. enterica serovar Enteritidis str. SA20093266,64235,46245,47701,39031,3203,3148,1262,1265,2074,3530,10627,7452,9278,6517,5478,3615,3786,2497,3160,2206,1869,1441,2605,3698,2192,1779,321,452,355,185,7151,5186,3782,2595,390,462,400,315,0,0,0,77,0,0,0,41,42,36,0,0,211,306,127,180,93,74,12,12
568704:Lactobacillus rhamnosus Lc 705,1904,1539,1947,1757,1644,1724,710,727,2048,2246,6288,3958,6619,4286,14881,15385,13535,14063,22793,23458,16053,17003,7239,7150,5852,5977,12449,12131,6625,6327,5925,5955,2743,2806,795,993,1219,979,0,0,0,0,0,0,0,0,43,58,33,0,4618,4875,3159,3232,1027,1036,211,178
748671:Lactobacillus crispatus ST1,1644,1163,1431,1255,2821,2962,1209,1243,1661,2095,1712,1190,1820,1296,16568,15406,14295,13267,24522,22685,22491,22234,11150,13648,11410,10198,1786,1646,1040,994,2991,2849,1642,1460,923,1104,1146,814,0,0,0,0,0,0,0,0,0,0,0,0,4915,6184,3944,4666,103,122,24,28
1300150:Enterococcus mundtii QU 25,262,223,236,215,82586,75127,27141,24333,1958,2493,340,222,261,193,3179,3014,2798,2642,2880,2733,2597,2615,1976,2032,1931,1980,167,168,143,114,1750,1508,986,798,392,510,414,282,0,0,0,0,0,0,0,0,59,82,60,48,297,299,196,196,8,5,0,3
469598:Escherichia sp. 3_2_53FAA,37408,26036,40306,29353,38,11,26,15,2297,2574,19841,13334,19021,13347,534,580,426,447,453,443,471,535,2734,2928,1654,1515,151,145,130,122,8233,8468,4252,4191,843,1111,975,760,0,0,0,0,0,0,0,0,0,0,0,0,151,153,94,114,1048,996,75,104
393480:Fusobacterium nucleatum subsp. polymorphum ATCC 10953,1898,1698,1550,1668,1278,1192,676,655,1632,1991,11555,7781,10755,7393,17119,15303,15078,14034,14667,13494,8361,7856,5761,6863,5208,4668,3993,4391,2851,2374,6193,5655,3296,3069,446,603,502,429,0,57,62,76,0,45,51,58,47,63,42,48,1970,2363,1397,1577,3810,3462,267,395
498761:Heliobacterium modesticaldum Ice1,2516,2260,2278,2141,20778,19829,7511,7452,1493,1983,9134,6349,8001,5643,7907,7370,6011,5505,5930,5523,4861,4524,2667,2977,2151,1902,6582,8165,4826,3636,7660,6762,4329,3868,208,253,213,194,134,153,127,196,83,95,99,128,109,143,118,121,1250,1290,765,912,558,397,162,42
8022:Oncorhynchus mykiss,590,548,592,580,1699,1710,950,970,1833,2302,105,116,107,101,203,148,109,94,55,42,75,47,117,156,70,71,2354,2559,1480,1315,422,390,269,256,3608,4170,4041,3260,0,0,52,0,60,77,72,77,0,37,0,0,42,0,31,0,62011,58148,8010,6182
1883:Streptomyces,1125,843,925,830,98,111,49,53,1347,1718,4811,3440,4540,3220,12459,11523,10209,9399,7084,6797,4551,4420,2381,2610,1702,1644,1490,1739,1058,868,1750,1537,927,867,2182,2646,2561,2067,109,95,105,120,94,100,115,99,114,136,102,109,724,809,528,556,21237,19870,2152,3103
1390:Bacillus amyloliquefaciens,317,264,326,319,78,74,22,30,1104,1176,3105,1896,3012,1943,11052,11312,10067,10774,17009,17328,11178,12170,5277,5391,4440,4638,303,330,190,170,683,609,298,321,1621,2221,2268,1563,0,0,0,0,0,0,0,0,35,0,0,0,2849,2798,1861,1819,1009,938,91,63
1150469:Rhodospirillum photometricum DSM 122,3158,2384,2935,2352,105,131,56,50,1125,1317,7491,4885,7386,5097,4666,5101,3951,4119,6292,6497,4122,4680,4324,4128,3168,3342,6228,6331,3500,3431,4531,4520,2360,2275,2002,2379,2174,1666,0,0,0,0,0,0,47,0,0,0,0,0,1262,1173,802,696,299,379,46,77
816:Bacteroides,2741,1999,2460,2006,13613,12492,5533,5112,1068,1274,995,709,1001,757,3816,3781,2762,2701,2601,2554,2678,2626,2605,2904,1655,1573,2662,2587,1861,1756,936,846,516,480,0,0,0,0,5239,5498,5345,5538,720,927,872,1007,1987,2088,1701,1862,2253,2680,1582,1852,102,87,10,17
